"Measured","E1809","E1531","E1515","E1512","E2020","E1886","E2111","E1594","E1561","E1560","E1736","E2121","E1518","E1857","E1855","E1854","E1888","E1549","E2114","E1764","E1554","E1710","E1596","E1528","E1850","E1580","E1548","E1727","E1839","E1588","E1765","E1540","E1884","E1852","E2108","E1563","E1742","E1873","E1755","E1804","E2023","E1845","E1572","E1849","E1527","E2138","E1830","E1879","E2116","E1836","E1851","E1739","E1707","E1747","E2125","E1752","E1803","E1573","E1706","E1578","E1847","E1745","E1524","E1557","E1749","E1844","E1507","E1539","E1841","E1575","E1837","E1831","E1576","E1856","E1564","E1892","E1555","E1763","E1722","E2141","E1702","E1566","E1875","E1838","E1843","E1570","E2142","E1890","E1761","E2129","E1525","E1558"
"2023-10-05T05:20:00","0","-","0","0","0","0","-","-0.31","-","0","0","-","0","-","-0.36","-","0","-","0","0.08","0","-","0","-","0","-","0","-","0","-0.07","-","-","-","0","0","0","0","0","0","-","-0.03","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.25","-","-","-0.38","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T05:25:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.4","-0.38","-","0","-","0","-","0","-","0","-0.42","0","-","0","-","0","-0.12","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T05:30:00","0","-","0","0","0","0","-","-0.36","-0.52","0","0","-","0","-","-0.4","-","0","-","0","0.03","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.08","-0.46","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.2","0","-","-0.33","-"
"2023-10-05T05:35:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.45","-0.42","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.17","-","-","-","0","0","0","0","0","0","18.34","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.3","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-0.45"
"2023-10-05T05:40:00","0","-","0","0","0","0","-","-0.41","-0.57","0","0","-","0","-","-0.44","-","0","-","0","-0.02","0","-","0","-0.47","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.51","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.18","0","-","-","-"
"2023-10-05T05:45:00","0","-","0","0","0","0","-","-0.31","-","0","0","-","0","-0.5","-0.46","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.13","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.35","-","-","-0.43","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.38","-0.5"
"2023-10-05T05:50:00","0","-","0","0","0","0","-","-0.41","-","0","0","-","0","-","-0.48","-","0","-","0","-0.07","0","-","0","-","0","-","0","-","0","-0.22","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","0.17","-","-","0.16","0","-","-","-"
"2023-10-05T05:55:00","0","-","0","0","0","0","-","-0.46","-0.62","0","0","-","0","-0.5","-0.5","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.18","-0.56","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.48","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-0.55"
"2023-10-05T06:00:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.55","-0.52","-","0","-","0","-0.12","0","-","0","-0.52","0","-","0","-","0","-0.27","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.4","-","-","-","-","-","0","-","0","0","0","-","-","-","0.14","0","-","-0.43","-"
"2023-10-05T06:05:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.6","-0.54","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.61","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.53","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T06:10:00","0","-","0","0","0","0","-","-0.51","-0.67","0","0","-","0","-","-0.56","-","0","15.28","0","-0.17","0","-","0","-0.57","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.23","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.45","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.48","-0.6"
"2023-10-05T06:15:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-0.58","-","0","-","0","-","0","20.72","0","-","0","-","0","-","0","-0.32","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.58","-","-","0","-","0","0","0","-","-","-","0.12","0","-","-","-"
"2023-10-05T06:20:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.65","-0.6","-","0","-","0","-0.22","0","-","0","-","0","1.46","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.28","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.5","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.53","-"
"2023-10-05T06:25:00","0","-","0","0","0","0","-","-0.56","-","0","0","-","0","-","-0.62","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.37","-","-","-","0","0","0","0","0","0","-","-","-0.66","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.1","0","-","-","-"
"2023-10-05T06:30:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-0.64","-","0","-","0","-0.27","0","-","0","-0.62","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.63","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T06:35:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.42","-","-","-","0","0","0","0","0","0","-","-0.33","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.55","-","-","-","-","-","0","-","0","0","0","-","-","-","0.08","0","-","-","-"
"2023-10-05T06:40:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-0.66","-","0","-","0","-0.32","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.58","-"
"2023-10-05T06:45:00","0","-","0","0","0","0","-","-0.61","-","0","0","-","0","-0.7","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.38","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.6","-","-","-","-","-","0","-","0","0","0","-","-","-","0.06","0","-","-","-"
"2023-10-05T06:50:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-0.68","-","0","-","0","-0.37","0","-","0","-","0","-","0","-","0","-0.47","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","1.69","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.68","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T06:55:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.7","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.71","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.04","0","-","-","-"
"2023-10-05T07:00:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.43","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T07:05:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-0.7","-","0","-","0","-0.42","0","-","0","-","0","-","0","-","0","-0.52","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.65","-","-","-","-","-","0","-","0","0","0","-","-","-","0.02","0","-","-","-"
"2023-10-05T07:10:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.48","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T07:15:00","0","-","0","0","0","0","-","-0.61","-","0","0","-","0","-0.65","-","-","0","-","0","-0.47","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T07:20:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.7","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0","0","-","-","-"
"2023-10-05T07:25:00","0","-","0","0","0","0","-","-0.66","-","0","0","-","0","-","-","-","0","-","0","-0.52","0","-","0","-","0","-","0","-","0","-0.57","-","-","-","0","0","0","0","0","0","-","-0.53","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.7","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T07:30:00","0","-","0","0","0","0","-","-0.61","-","0","0","-","0","-","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-0.02","0","-","-","-"
"2023-10-05T07:35:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","0.9","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T07:40:00","0","-","0","0","0","0","-","-0.66","-","0","0","-","0","-","-","-","0","-","0","-0.57","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.66","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-0.04","0","-","-","-"
"2023-10-05T07:45:00","0","-","0","0","0","0","-","-0.61","-","0","0","-","0","-","-0.68","-","0","-","0","-","0","-","0","-0.62","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.58","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T07:50:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-","-","0","-","0","-0.62","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-0.06","0","-","-","-"
"2023-10-05T07:55:00","0","-","0","0","0","0","-","-0.56","-","0","0","-","0","-0.7","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.61","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T08:00:00","0","-","0","0","0","0","-","-","-0.62","0","0","-","0","-","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T08:05:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.65","-0.66","-","0","-","0","-0.67","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-0.08","0","-","-","-"
"2023-10-05T08:10:00","0","-","0","0","0","0","-","-0.51","-0.57","0","0","-","0","-0.6","-","-","0","-","0","-","0","-","0","-0.57","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.63","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.63","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.53","-"
"2023-10-05T08:15:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.65","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-0.1","0","-","-","-0.55"
"2023-10-05T08:20:00","0","-","0","0","0","0","-","-","-0.52","0","0","-","0","-0.6","-0.64","-","0","-","0","-0.72","0","-","0","-0.52","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T08:25:00","0","-","0","0","0","0","-","-0.46","-","0","0","-","0","-0.45","-0.6","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.56","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","7.29","-","-","-","-","-","-","0","-","0","0","0","0.12","-","-","-","0","-","-0.48","-0.5"
"2023-10-05T08:30:00","0","-","0","0","0","0","-","-","-0.47","0","0","-","0","-0.6","-0.58","-","0","-","0","-","0","-","0","-0.47","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.65","-","-","-0.58","-","-","0","-","0","0","0","-","-","-","-0.12","0","-","-","-"
"2023-10-05T08:35:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.55","-0.56","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.51","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.43","-0.45"
"2023-10-05T08:40:00","0","-","0","0","0","0","-","-0.46","-0.42","0","0","-","0","-0.5","-0.54","-","0","-","0","-0.77","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.46","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.53","-","-","0","-","0","0","0","-","-","-","-0.14","0","-","-","-"
"2023-10-05T08:45:00","0","-","0","0","0","0","-","-0.41","-","0","0","-","0","-","-0.52","-","0","-","0","-","0","-","0","-0.42","0","-","0","-","0","-0.52","-","-","12.52","0","0","0","0","0","0","-","-0.63","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.6","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.38","-0.4"
"2023-10-05T08:50:00","0","-","0","0","0","0","-","-0.36","-","0","0","-","0","-0.45","-0.5","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.41","0","-","0","0","0","0","0","0","1.69","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","3.52","-","-0.48","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T08:55:00","0","-","0","0","0","0","-","-0.31","-0.37","0","0","-","0","-0.45","-0.48","-","0","-","0","-","0","-","0","-0.37","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","1.06","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.55","-","-","-","-","-","0","-","3","0","0","-","-","-","-0.16","0","-","-0.33","-0.35"
"2023-10-05T09:00:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-0.44","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.47","0.22","-","-","0","0","0","0","0","0","-","-0.58","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.43","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T09:05:00","0","-","0","0","0","0","-","-","-0.32","0","0","-","0","-0.4","-0.42","-","0","-","0","-","0","-","0","-0.32","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.36","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","6.08","-","-0.5","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.28","-"
"2023-10-05T09:10:00","0","-","0","0","0","0","-","-0.26","-","0","0","-","0","-","-0.4","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.42","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.38","-","-","0","-","0","0","0","-","-","-","-0.18","0","-","-","-0.3"
"2023-10-05T09:15:00","0","-","0","0","0","0","-","-","-0.27","0","0","-","0","-0.35","-0.38","-","0","-","0","-","0","-","1","-0.27","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.53","-0.31","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.23","-"
"2023-10-05T09:20:00","0","-","0","0","0","0","-","-0.21","-","0","0","-","0","-0.35","-0.34","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.37","-","-","-","0","0","0","0","0","0","-","-","-0.26","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.45","-","-","-0.33","-","-","0","-","0","0","0","-","-","-","-0.2","0","-","-","-0.25"
"2023-10-05T09:25:00","0","-","0","0","0","0","-","-","-0.22","0","0","-","0","-0.25","-0.32","-","0","-","0","-","0","-","0","-0.22","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.48","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-0.2"
"2023-10-05T09:30:00","0","-","0","0","0","0","-","-0.16","-0.17","0","0","-","0","-0.25","-0.3","-","0","-","0","-","0","-","0","-0.17","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.21","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.4","-","-","-0.28","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.18","-"
"2023-10-05T09:35:00","0","-","0","0","0","0","-","-","-0.12","0","0","-","0","-0.25","-0.26","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.32","-","-","-","0","0","0","0","0","0","-","-0.43","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.44","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-0.22","0","-","-0.13","-0.15"
"2023-10-05T09:40:00","0","-","0","0","0","0","-","-0.11","-","0","0","-","0","-0.2","-0.24","-","0","-","0","-","0","-","0","-0.12","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.16","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.35","-","-","-0.23","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-0.1"
"2023-10-05T09:45:00","0","-","0","0","0","0","-","-0.06","-","0","0","-","0","-","-0.22","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.27","-","-","-","0","0","0","0","0","0","-","-0.38","-0.11","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.08","-0.05"
"2023-10-05T09:50:00","0","-","0","0","0","0","-","-","-0.07","0","0","-","0","-0.15","-0.18","-","0","-","0","-0.72","0","-","0","-0.07","0","-","0","-","0","-0.22","-","-","-","0","0","0","0","0","0","-","-","-0.06","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.3","-","-","-0.18","-","-","0","-","0","0","0","-","-","-","-0.24","0","-","-0.03","-"
"2023-10-05T09:55:00","0","-","0","0","0","0","-","-0.01","-","0","0","-","0","-0.1","-0.16","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","0"
"2023-10-05T10:00:00","0","-","0","0","0","0","-","0.04","-","0","0","-","0","-","-0.12","-","0","-","0","-0.67","0","20.72","0","-0.02","0","-","0","49.26","0","-","-","-","12.52","0","0","0","0","0","0","-","-0.33","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.25","-","-","-0.13","-","-","0","-","0","0","0","-","-","-","-","0","-","0.02","-"
"2023-10-05T10:05:00","0","-","0","0","0","0","-","-","-0.02","0","0","-","0","-0.05","-0.1","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.17","-","-","-","0","0","0","0","0","0","-","-","-0.01","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.08","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T10:10:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-0.08","-","0","-","0","-0.62","0","-","0","0.03","0","-","0","-","0","-0.12","-","-","-","0","0","0","0","0","0","-","-0.28","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.2","-","-","-0.03","-","-","0","-","0","0","0","-","-","-","-0.26","0","-","0.07","0.05"
"2023-10-05T10:15:00","0","-","0","0","0","0","-","0.09","-","0","0","-","0","-0.05","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.15","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","4.2","-","-"
"2023-10-05T10:20:00","0","-","0","0","0","0","-","-","0.03","0","0","-","0","0","-0.04","-","0","-","0","-0.57","0","-","0","-","0","-","0","-","0","-0.07","-","-","-","0","0","0","0","0","0","-","-0.23","0.04","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-05T10:25:00","0","-","0","0","0","0","-","-","0.08","0","0","-","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.02","-","-","-","0","0","0","0","0","0","-","-","0.09","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","41.48","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.1","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","0.12","0.1"
"2023-10-05T10:30:00","0","-","0","0","0","0","-","0.14","-","0","0","-","0","0.05","0.02","-","0","-","0","-0.52","0","-","0","0.13","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.18","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.44","-","0","0","0","0","0","0","0","0","0","-","-","-","-","6.74","0.02","-","-","0","-","0","0","0","-","-","-","-0.28","0","-","-","-"
